CMS Type,Required Fields,Optional Fields
Discussion,"['Title', 'Body']","['Tags', 'Image', 'Category', 'Allow Replies', 'Pin to Top', 'Author']"
Q&A,"['Question', 'Details']","['Tags', 'Accepted Answer', 'Upvotes', 'Author', 'Category']"
Knowledge Base,"['Title', 'Body']","['Category', 'Tags', 'Related Articles', 'Last Updated', 'Author']"
Idea & Feedback,"['Idea Title', 'Description']","['Tags', 'Status (e.g. Under Review)', 'Votes', 'Attachments', 'Submitter']"
Changelog,"['Update Title', 'Description', 'Date']","['Tags', 'Feature Area', 'Version', 'Author']"
Product Update,"['Title', 'Description', 'Date']","['Tags', 'Release Notes', 'Feature', 'Version', 'Media']"
Roadmap,"['Feature/Item', 'Status', 'Description']","['Tags', 'Timeline', 'Priority', 'Owner']"
Announcements,"['Title', 'Message']","['Audience', 'Date', 'Call-to-Action', 'Banner Image']"
Wiki,"['Page Title', 'Content']","['Parent Page', 'Tags', 'Last Updated', 'Editor']"
Member Directory,"['Name', 'Role']","['Bio', 'Profile Picture', 'Department', 'Email', 'Tags']"
Event,"['Event Title', 'Date & Time', 'Location']","['Description', 'Speaker', 'RSVP Limit', 'Tags', 'Banner Image']"
Course,"['Course Title', 'Description', 'Start Date']","['Instructor', 'Duration', 'Materials', 'Tags', 'Enrollment Limit']"
Jobs,"['Job Title', 'Description', 'Location']","['Department', 'Type (Full-time, Part-time)', 'Salary', 'Apply Link']"
Speakers,"['Name', 'Title', 'Bio']","['LinkedIn', 'Image', 'Company', 'Topic']"
Article,"['Title', 'Body']","['Cover Image', 'Author', 'Tags', 'Category', 'Estimated Reading Time']"
Poll Voting,"['Question', 'Options']","['Allow Multiple Choices', 'Deadline', 'Voter List', 'Anonymous']"
File Library,"['File Name', 'File Upload']","['Category', 'Tags', 'Description', 'Uploader', 'Access Level']"
Gallery,"['Title', 'Image Upload']","['Caption', 'Tags', 'Category', 'Author']"
